,购买金额,累计购买金额
0,72.98,2343.87
1,200.99,8539.872
2,69.98,1687.646
3,319.99,2811.491
4,140.0,769.99
5,51.98,2542.822
6,2016.99,1679.0
7,14.99,798.604
8,659.98,729.78
9,75.96,958.972
10,293.88,199.49
11,128.96,140.74
12,209.98,3197.35
13,815.43,1246.3
14,63.98,680.587
15,366.54,542.2
16,59.99,4030.694
17,29.99,1862.0
18,549.99,4179.922
19,150.99,9780.957
20,119.99,1372.484
21,59.99,0.0
22,279.96,2302.912
23,143.99,2020.8
24,59.99,2471.111
25,27.88,3331.547
26,178.99,4517.057
27,69.99,1781.99
28,106.36,2297.442
29,131.08,1774.664
30,448.99,2838.678
31,32.99,0.0
32,239.0,6535.01
33,13.98,2461.749
34,449.98,5234.883
35,140.0,3301.97
36,1252.76,786.98
37,470.39,1465.39
38,61.97,560.905
39,206.08,2639.707
40,129.99,2660.24
41,110.0,1592.567
42,52.97,1828.151
43,649.99,6.99
44,28.99,2866.359
45,35.99,1193.94
46,66.98,2489.459
47,312.98,1672.067
48,64.99,6155.844
49,419.99,766.98
50,228.61,1556.544
51,638.97,1214.99
52,89.95,529.94
53,388.99,2147.13
54,239.0,2585.617
55,111.96,89.99
56,133.96,1055.699
57,66.98,760.527
58,4858.22,11597.9
59,292.99,7301.554
60,178.94,1062.486
61,136.671,2290.096
62,856.27,4049.772
63,298.95,3409.14
64,149.99,2143.907
65,667.34,193.98
66,77.08,1497.72
67,668.95,3969.761
68,691.5,1934.012
69,178.99,2448.031
70,110.99,2294.99
71,83.97,1562.25
72,249.99,1999.547
73,605.55,2099.0
74,116.16,3536.384
75,62.97,3178.464
76,109.99,1353.751
77,519.89,5588.16
78,79.99,3342.202
79,982.99,799.96
80,409.96,504.21
81,66.98,571.98
82,610.93,4301.64
83,36.98,675.98
84,179.98,2242.609
85,98.96,1820.629
86,1272.38,1788.571
87,239.0,1566.009
88,162.98,5495.106
89,57.97,9.98
90,299.99,1561.89
91,159.4,2149.149
92,47.97,1350.97
93,89.99,1488.522
94,142.49,5032.761
95,574.0,11205.204
96,947.95,11597.9
97,1297.95,5004.344
98,129.99,2537.474
99,558.58,6669.14
100,23.99,1581.443
101,39.99,1780.96
102,656.95,988.577
103,58.97,2065.052
104,69.99,4437.427
105,538.99,871.0
106,73.96,1104.98
107,654.4,4418.95
108,69.99,2891.86
109,57.28,1638.394
110,376.98,820.47
111,642.284,927.58
112,539.98,1253.724
113,228.99,1469.601
114,438.028,4226.281
115,39.98,0.0
116,388.97,3538.991
117,1767.97,6355.992
118,269.99,3216.827
119,632.98,2759.39
120,485.97,1299.42
121,488.97,0.0
122,310.906,1941.594
123,545.98,1348.99
124,249.99,3797.493
125,33.98,3881.727
126,531.96,3701.43
127,199.99,1388.094
128,153.12,2239.449
129,499.99,0.0
130,99.99,3571.0
131,52.97,0.0
132,225.99,1103.982
133,56.97,2453.294
134,33.98,875.66
135,78.98,844.469
136,36.98,1331.47
137,87.99,1128.604
138,17.99,1729.559
139,732.16,4703.315
140,109.95,3623.88
141,494.99,2481.94
142,69.99,6250.667
143,190.97,22.79
144,47.98,8515.881
145,119.99,5516.426
146,43.19,0.0
147,723.48,399.2
148,129.99,4026.49
149,842.71,1740.74
150,703.97,2687.38
151,383.88,1278.867
152,479.99,567.99
153,115.99,583.97
154,146.97,3690.45
155,1098.0,838.99
156,2491.99,1508.0
157,299.0,2100.85
158,75.99,1733.492
159,99.99,2318.817
160,93.96,658.99
161,301.48,6022.713
162,548.99,4475.201
163,684.92,419.99
164,17.99,1071.866
165,39.98,958.614
166,112.46,203.99
167,98.0,1281.49
168,54.97,662.6
169,89.99,597.419
170,588.99,1105.934
171,3789.47,3347.98
172,1195.8,4213.022
173,446.48,2023.904
174,1117.87,841.98
175,46.99,718.582
176,588.97,1655.522
177,35.98,2340.98
178,110.99,1095.766
179,164.95,563.99
180,714.99,4580.347
181,349.99,2837.387
182,32.99,1098.97
183,83.97,1596.91
184,427.79,939.2
185,78.98,1143.621
186,93.66,465.4
187,239.0,3472.93
188,1348.33,3097.192
189,886.15,10179.597
190,754.98,995.98
191,362.97,5904.202
192,39.98,4952.823
193,101.97,0.0
194,35.99,531.587
195,328.99,4024.552
196,52.97,0.0
197,1063.41,5755.542
198,927.87,1601.98
199,110.97,2469.06
200,109.95,537.93
201,997.28,4348.744
202,149.99,2647.377
203,140.0,0.0
204,21.99,4185.78
205,434.97,1734.78
206,318.99,523.99
207,468.93,1941.74
208,441.34,2831.96
209,89.07,284.05
210,71.18,3682.19
211,129.99,2020.029
212,382.88,1774.024
213,539.98,3167.454
214,295.88,2251.927
215,139.99,670.0
216,109.99,3096.13
217,119.98,4694.778
218,44.99,814.519
219,140.0,1128.96
220,50.97,1846.77
221,57.97,0.0
222,17.99,176.98
223,110.97,1668.637
224,488.97,11.09
225,333.99,5260.37
226,379.99,1394.724
227,998.0,2997.362
228,107.97,1585.507
229,1107.99,2494.39
230,249.99,2523.984
231,171.98,2130.95
232,239.0,4019.407
233,140.0,2357.821
234,133.96,1131.99
235,372.39,1061.98
236,538.97,526.99
237,69.99,1307.98
238,478.62,6897.939
239,397.99,1831.96
240,255.97,6132.77
241,200.97,718.88
242,2402.86,0.0
243,140.0,1033.97
244,59.0,526.98
245,129.99,4062.694
246,30.99,3427.15
247,87.97,592.0
248,120.0,1808.0
249,141.95,429.01
250,486.97,11597.9
251,193.17,1579.96
252,179.0,844.99
253,43.19,2298.202
254,69.99,1970.4
255,64.98,1001.6
256,1029.98,0.0
257,111.96,1121.66
258,279.766,739.98
259,63.99,978.611
260,110.97,1004.9
261,368.95,453.02
262,499.99,3011.487
263,688.97,1500.151
264,30.99,3200.11
265,748.95,3035.151
266,109.97,2160.152
267,117.98,4689.869
268,1132.56,737.62
269,56.0,2283.88
270,99.99,6.99
271,780.99,1173.816
272,165.94,1167.28
273,699.93,1600.002
274,69.97,2408.872
275,20.99,1086.93
276,256.98,2795.52
277,963.01,4154.43
278,269.98,4636.679
279,376.98,589.01
280,734.02,5609.15
281,423.23,2831.63
282,87.26,1518.3
283,331.97,4852.38
284,139.0,711.99
285,407.98,3278.73
286,29.99,3042.397
287,89.99,6050.606
288,111.96,828.86
289,79.96,2036.326
290,71.18,1228.96
291,660.97,1781.485
292,122.36,2643.631
293,130.95,1083.82
294,47.97,2905.777
295,897.97,2700.39
296,33.99,985.98
297,1932.36,1482.97
298,308.95,417.37
299,239.0,630.99
300,35.98,782.561
301,239.0,1337.111
302,99.99,0.0
303,171.94,2022.434
304,289.99,3220.015
305,264.134,2079.36
306,84.97,1392.192
307,288.27,1803.577
308,36.98,2404.464
309,39.98,4468.131
310,843.52,11597.9
311,549.99,3552.294
312,59.99,2581.164
313,606.74,129.99
314,239.0,4240.974
315,150.0,2401.784
316,1749.99,4382.557
317,399.99,1880.09
318,79.17,2723.28
319,308.99,3567.027
320,1149.57,2197.01
321,235.92,1034.98
322,92.02,3563.894
323,73.96,2221.97
324,368.96,675.98
325,63.99,1551.127
326,478.86,4902.812
327,250.0,2032.54
328,309.97,5612.75
329,558.99,3145.724
330,109.99,0.0
331,35.98,2656.994
332,239.0,0.0
333,129.15,3821.445
334,299.99,0.0
335,229.99,0.0
336,251.94,11492.864
337,297.0,5190.781
338,1428.0,11597.9
339,649.99,971.99
340,139.99,4765.464
341,52.34,758.43
342,764.99,9192.626
343,25.99,2024.034
344,119.98,6753.43
345,449.0,1987.96
346,352.79,804.98
347,699.99,2412.79
348,69.98,1691.94
349,420.98,3949.368
350,73.96,3605.168
351,568.99,11597.9
352,49.88,90.0
353,43.19,1069.02
354,479.99,5225.72
355,122.36,165.0
356,308.0,533.0
357,477.0,4772.76
358,576.97,2563.9
